clusterhead_1,clusterhead_2,distance
1,2,87.185293
1,3,155.717883
1,4,248.400273
1,5,284.765030
1,6,367.742086
1,7,463.103538
1,8,502.286334
1,14,227.141743
1,16,369.020394
1,21,142.603090
1,22,174.675435
1,23,207.231388
1,24,261.460849
1,26,417.929818
1,27,473.334317
1,28,559.808417
1,31,245.648267
1,32,264.981503
1,33,264.441787
1,34,321.435196
1,35,390.734356
1,36,447.866490
1,37,525.801489
1,38,611.264662
1,39,680.916721
1,41,302.982919
1,44,386.866477
1,45,433.123040
1,46,488.663010
1,47,557.072254
1,49,729.831837
1,50,371.905242
1,52,413.374183
1,53,418.749921
1,54,448.670590
1,55,518.084507
1,56,569.997985
1,60,437.409874
1,61,434.020872
1,62,472.875473
1,63,483.284016
1,64,549.401012
1,67,662.220583
1,68,746.773077
1,70,516.754102
1,72,547.825797
1,73,548.051807
1,74,623.772970
1,76,699.334455
1,77,741.129864
1,81,607.698706
1,82,600.496998
1,84,658.803368
1,86,757.191044
1,87,793.799298
1,88,819.254070
1,89,898.362104
1,94,741.116258
2,3,70.267756
2,4,163.096803
2,5,199.033169
2,6,281.489978
2,7,377.472713
2,8,416.606085
2,14,154.770691
2,16,288.378357
2,21,168.936719
2,22,159.994046
2,23,172.961850
2,24,202.189581
2,26,346.229495
2,27,398.647602
2,28,481.559612
2,31,268.107620
2,32,260.134022
2,33,240.543324
2,34,272.815653
2,35,331.322410
2,36,380.919640
2,37,456.847749
2,38,537.113301
2,39,606.376961
2,41,323.929397
2,44,348.162559
2,45,384.328882
2,46,432.352810
2,47,496.834051
2,49,659.901699
2,50,405.282760
2,52,408.980608
2,53,396.477108
2,54,416.570443
2,55,479.981281
2,56,518.300994
2,60,468.391292
2,61,451.127756
2,62,467.854239
2,63,468.233516
2,64,522.954561
2,67,612.867190
2,68,690.209604
2,70,540.412399
2,72,546.063186
2,73,537.749348
2,74,599.848504
2,76,658.419880
2,77,694.174513
2,81,621.088673
2,82,602.987861
2,84,637.813475
2,86,722.318040
2,87,751.325185
2,88,771.499258
2,89,847.232178
2,94,722.131328
3,4,92.934414
3,5,129.110689
3,6,212.027997
3,7,307.548155
3,8,346.714492
3,14,95.744521
3,16,219.082025
3,21,199.374600
3,22,161.291031
3,23,153.724059
3,24,153.607827
3,26,282.008153
3,27,332.097274
3,28,412.867617
3,31,285.371948
3,32,256.518760
3,33,222.393699
3,34,229.934742
3,35,276.892710
3,36,319.735440
3,37,393.597643
3,38,470.353815
3,39,539.252708
3,41,336.697943
3,44,310.747892
3,45,337.402272
3,46,378.536736
3,47,439.347232
3,49,595.204317
3,50,424.572616
3,52,397.962204
3,53,371.192744
3,54,382.580657
3,55,439.746605
3,56,466.923615
3,60,484.104399
3,61,456.176607
3,62,454.631591
3,63,446.868012
3,64,491.278359
3,67,562.341173
3,68,634.026889
3,70,548.741080
3,72,533.789857
3,73,518.758418
3,74,569.012155
3,76,613.809142
3,77,644.810932
3,81,619.800159
3,82,593.182821
3,84,608.811870
3,86,681.750538
3,87,704.879174
3,88,721.105071
3,89,794.121015
3,94,693.806855
4,5,36.598996
4,6,119.954902
4,7,214.704871
4,8,253.886417
4,14,75.436755
4,16,131.612735
4,21,268.111809
4,22,209.348213
4,23,180.440197
4,24,132.825254
4,26,207.762581
4,27,250.723717
4,28,325.314965
4,31,335.824067
4,32,286.238771
4,33,237.706802
4,34,205.523609
4,35,225.223739
4,36,251.281878
4,37,318.750607
4,38,387.009373
4,39,454.735810
4,41,379.466980
4,44,287.978659
4,45,296.508808
4,46,323.073590
4,47,375.236544
4,49,515.364044
4,50,471.047419
4,52,408.834474
4,53,363.506116
4,54,361.085112
4,55,405.931508
4,56,413.418774
4,60,524.869993
4,61,485.149046
4,62,460.258115
4,63,441.483746
4,64,469.267457
4,67,508.473629
4,68,569.519542
4,70,579.228047
4,72,538.283311
4,73,514.425202
4,74,546.301256
4,76,568.911322
4,77,591.739357
4,81,636.820484
4,82,599.593935
4,84,588.005781
4,86,642.273037
4,87,655.852825
4,88,665.525283
4,89,733.500259
4,94,672.559372
5,6,83.356002
5,7,178.458166
5,8,217.613492
5,14,99.732731
5,16,104.252515
5,21,301.722686
5,22,239.628237
5,23,206.671946
5,24,147.471642
5,26,188.815673
5,27,225.804877
5,28,295.089494
5,31,364.662932
5,32,310.129703
5,33,258.506126
5,34,213.283364
5,35,219.179097
5,36,234.889278
5,37,297.261607
5,38,359.497390
5,39,426.155193
5,41,405.795619
5,44,293.399217
5,45,293.664624
5,46,312.459639
5,47,359.279300
5,49,489.520419
5,50,497.736705
5,52,424.773287
5,53,373.337939
5,54,365.466450
5,55,404.354460
5,56,402.526470
5,60,549.557182
5,61,506.399273
5,62,473.767488
5,63,451.115078
5,64,471.991519
5,67,496.549818
5,68,551.906207
5,70,600.380187
5,72,550.702806
5,73,523.738698
5,74,548.050826
5,76,560.818032
5,77,579.679085
5,81,653.119854
5,82,612.303188
5,84,590.244217
5,86,636.208638
5,87,645.380820
5,88,651.915369
5,89,717.201948
5,94,674.126039
6,7,96.962705
6,8,135.708821
6,14,172.243809
6,16,78.773600
6,21,380.405019
6,22,313.753744
6,23,275.502039
6,24,202.867537
6,26,169.157937
6,27,184.449863
6,28,233.341537
6,31,434.839984
6,32,372.468247
6,33,316.897264
6,34,250.965669
6,35,228.079842
6,36,217.071625
6,37,261.397224
6,38,304.259910
6,39,366.596273
6,41,471.043237
6,44,321.544548
6,45,304.219277
6,46,303.983314
6,47,335.465448
6,49,436.628732
6,50,562.832951
6,52,469.961729
6,53,407.482770
6,54,388.561051
6,55,413.250913
6,56,389.824375
6,60,610.413315
6,61,560.903860
6,62,513.216788
6,63,482.991349
6,64,488.701827
6,67,479.045679
6,68,519.459668
6,70,653.837238
6,72,586.779308
6,73,553.671706
6,74,561.221477
6,76,551.311113
6,77,560.449579
6,81,696.214532
6,82,648.269758
6,84,603.873551
6,86,630.389357
6,87,629.099222
6,88,628.041164
6,89,686.166755
6,94,685.243069
7,8,39.187407
7,14,255.519668
7,16,117.800213
7,21,464.272755
7,22,392.984455
7,23,350.251478
7,24,270.068681
7,26,169.079230
7,27,150.445009
7,28,159.824488
7,31,506.925806
7,32,436.960680
7,33,379.261090
7,34,297.337607
7,35,248.116982
7,36,208.142915
7,37,222.224322
7,38,235.025468
7,39,289.272945
7,41,536.521198
