node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.000000,54.869473,135.369351,233.200237,287.379795,359.052487,440.258081,512.212719,81.956425,105.123722,182.997057,227.175881,296.540756,383.397059,461.320759,535.646049,115.645369,135.794617,214.298125,263.800523,326.023499,381.935038,483.515406,542.215058,182.826253,204.092187,258.211787,318.174548,356.433274,427.279651,490.865917,563.816243,256.947560,289.917399,327.447343,379.955475,415.415900,486.967009,552.879483,588.543127,370.679797,380.189299,401.868681,455.420199,498.383397,513.559161,598.778985,648.574960,444.167332,459.187349
1,54.869473,0.000000,80.587798,179.350479,232.892946,304.616052,385.778078,458.624738,115.607878,87.838591,142.044663,183.433430,245.573792,331.772895,409.323958,483.162955,138.370464,122.719082,189.070794,223.304252,281.676523,334.760542,436.026492,492.927595,204.660824,199.797169,240.439741,287.613683,318.947016,387.598112,447.578349,517.744464,273.792743,283.568816,312.003527,352.619412,386.034918,448.639778,514.876651,546.576066,384.466260,377.277257,388.078287,436.976051,470.220836,482.866152,563.730818,610.651166,455.822324,458.765916
2,135.369351,80.587798,0.000000,104.851090,154.857085,226.421544,307.230179,382.448766,186.798332,121.540072,113.328133,140.339644,178.661699,261.392720,337.311733,409.613516,199.600065,149.876604,183.967310,183.862101,229.950602,274.958779,373.868081,426.420950,259.350742,225.032787,241.879827,263.570227,280.093477,342.185541,393.865159,457.648592,319.267022,298.887211,312.086467,331.142037,359.759062,404.483008,470.224461,494.154102,422.227525,393.026537,387.375783,427.434957,443.802140,451.819032,523.733407,564.998117,489.111843,475.624650
3,233.200237,179.350479,104.851090,0.000000,56.559073,126.793213,207.874903,279.284955,265.439643,178.769023,105.471895,92.152956,78.182665,156.866791,232.460918,305.006486,265.463271,190.847161,176.460464,126.117017,145.507799,177.988106,273.074204,322.797202,311.182904,245.977805,230.041087,213.973718,208.473548,258.529817,299.904893,357.605312,354.312351,297.191692,289.194595,278.186899,298.655381,320.081897,383.754992,399.898905,440.669490,384.025107,357.358096,383.808618,378.565458,380.826805,441.086308,476.110837,498.559141,463.739461
4,287.379795,232.892946,154.857085,56.559073,0.000000,71.736601,152.889661,227.978214,321.989323,235.018826,156.744944,132.229626,69.692647,119.397764,188.402469,257.496256,321.652291,245.482980,221.389630,154.296594,148.249938,159.917018,243.417071,285.210326,365.600639,295.569931,270.422034,237.582784,217.047580,252.882712,280.604159,327.714810,405.178379,338.683555,322.574997,296.082158,310.243348,311.302472,371.213959,378.050749,486.105498,420.662892,385.242244,403.748052,384.602433,382.393186,431.283482,459.485834,540.416686,497.797808
5,359.052487,304.616052,226.421544,126.793213,71.736601,0.000000,81.222611,157.839057,391.234357,302.390840,217.883659,184.459912,96.999210,79.659540,128.072196,190.802654,388.437849,309.265364,272.790802,192.822118,160.283079,142.579338,200.573041,229.967642,427.991676,350.979016,314.605014,263.574095,226.822591,241.771789,249.759105,281.109606,461.141700,382.393197,356.414203,311.905015,317.587057,292.725959,345.509434,340.298610,533.099497,456.370390,410.380088,418.313785,382.115883,374.306932,407.436687,426.492418,581.735134,528.860896
6,440.258081,385.778078,307.230179,207.874903,152.889661,81.222611,0.000000,84.458237,471.383764,381.667367,294.475178,257.234608,166.279183,102.845771,89.751799,125.808564,467.074905,386.370389,342.357866,257.123501,209.166943,167.968837,181.295774,186.360904,503.449537,422.006203,377.949842,314.441438,266.259112,258.895927,242.139463,248.238850,531.514143,443.902159,410.282669,351.367084,348.610003,297.089175,337.986203,317.093678,595.405207,509.704806,455.048393,452.620790,400.016684,386.361379,399.599325,406.348322,638.529856,576.782280
7,512.212719,458.624738,382.448766,279.284955,227.978214,157.839057,84.458237,0.000000,535.460258,443.988735,352.791258,310.973680,222.343521,138.651706,70.609960,46.167642,526.756618,443.667043,388.335336,300.215171,240.206301,183.547394,147.030572,123.336785,555.838898,468.083841,414.353803,338.655861,281.595523,251.770718,211.059086,190.249635,574.688913,475.997855,433.754044,360.853110,349.098176,273.174685,299.228050,264.110710,625.694645,529.782286,466.205142,452.168198,384.028127,364.930880,357.685678,352.611398,660.753851,588.852846
8,81.956425,115.607878,186.798332,265.439643,321.989323,391.234357,471.383764,535.460258,0.000000,91.877797,184.616922,229.307845,313.354913,399.656356,477.393917,552.731499,38.750673,103.094176,184.411575,256.056623,323.102181,384.033616,483.983601,547.090002,102.339467,146.072005,213.111935,288.789235,337.685144,410.550069,480.496610,559.067449,177.481330,228.663588,275.502761,342.817992,380.417010,466.090207,530.163520,573.543674,291.563687,312.835875,345.608068,403.745041,459.558081,478.478087,569.841486,624.411103,365.633549,388.514576
9,105.123722,87.838591,121.540072,178.769023,235.018826,302.390840,381.667367,443.988735,91.877797,0.000000,92.833759,137.806945,221.714986,307.816424,385.518276,460.856339,86.704169,34.886525,109.191261,167.358299,233.406902,293.396368,394.051447,456.317753,139.022035,112.618407,155.069967,213.574409,255.120386,327.218936,394.303155,470.902115,198.033433,195.741720,225.883175,274.832348,310.401447,385.418116,450.846814,489.830485,303.737903,289.600215,301.554187,352.554140,393.260995,408.643598,495.013476,546.243611,373.035244,371.327063
